growth form,code,latin name,common name,family,synonyms,description,flower color,flower shape ,petal number ,inflorescence ,leaf arrangement ,leaf shape ,leaf shape FILTER,habitat ,c.f.,photo credit
forb,GENPAR,Gentiana parryi,Parry’s gentian,Gentianaceae,"Gentiana calycosa var. asepala, Pneumonanthe calycosa ",.,blue,funnelform,5,cyme,opposite,"lanceolate, ovate",oblong,"wet meadow, subalpine",.,Jane G. Smith
forb,GENPRO,Gentiana prostrata,pygmy gentian,Gentianaceae,,.,blue,funnelform,"4, 5",solitary,opposite,"elliptic, oblanceolate",oblong,wet meadow,.,Jane G. Smith
forb,GENAMA,Gentianella amarella,autumn dwarf gentian,Gentianaceae,,.,"purple, white",funnelform,"4, 5",cyme,opposite,"elliptic, lanceolate, spatulate",oblong,"moist meadow, wet meadow",.,Jane G. Smith
forb,SWEPER,Swertia perennis,felwort,Gentianaceae,,.,purple,stellate,5,cyme,basal,"obovate, elliptic, oblanceolate",oblong,wet meadow,.,Jane G. Smith
forb,ALLGEY,Allium geyeri,Geyer’s onion,Liliaceae,,.,pink,urceolate,6,umbellate,basal,linear,oblong,dry meadow,.,Jane G. Smith
forb,LLOSER,Lloydia serotina,alplily,Liliaceae,,.,white,radial,6,solitary,basal,linear,oblong,dry meadow,.,Jane G. Smith
forb,PHLPUL,Phlox pulvinata,cushion phlox,Polemoniaceae,,.,"blue, purple, white",salverform,5,solitary,opposite,linear,oblong,"dry meadow, fellfield",.,Jane G. Smith
forb,POLPUL,Polemonium pulcherrimum,Jacob’s ladder,Polemoniaceae,Polemonium delicatum,.,"blue, white",radial,5,cyme,basal,pinnate,other,subalpine,.,Jane G. Smith
forb,POLVIS,Polemonium viscosum,sky pilot,Polemoniaceae,,.,purple,funnelform,5,cyme,basal,"linear, pinnatisect",dissected,dry meadow,.,Jane G. Smith
forb,POLBIS,Polygonum bistortoides,American bistort,Polygonaceae,Bistorta bistortoides,.,white,other,5,spicate,"alternate, basal",lanceolate,oblong,"fellfield, dry meadow, moist meadow, wet meadow, snowbed",.,Jane G. Smith
forb,POLVIV,Polygonum viviparum,alpine bistort,Polygonaceae,Bistorta vivipara,.,white,other,5,spicate,"alternate, basal",lanceolate,oblong,"dry meadow, moist meadow",.,Jane G. Smith
forb,OXYDIG,Oxyria digyna,alpine sorrel,Polygonaceae,,.,yellow,other,4,paniculate,basal,reniform,round,snowbed,.,Jane G. Smith
forb,LEWPYG,Lewisia pygmaea,pygmy bitterroot,Portulacaceae,Oreobroma pygmaeum,.,"pink, white",radial,"6, >6",solitary,rosette,linear,oblong,"moist meadow, snowbed",.,Jane G. Smith
forb,ANDSEP,Androsace septentrionalis,rock primrose,Primulaceae,,.,white,salverform,5,umbellate,rosette,"elliptic, linear, oblanceolate",oblong,dry meadow,.,Jane G. Smith
forb,DODPUL,Dodecatheon pulchellum,darkthroat shootingstar,Primulaceae,,.,"pink, white",reflexed,"4, 5","solitary, umbellate",basal,"oblanceolate, ovate",oblong,wet meadow,.,Jane G. Smith
forb,PRIANG,Primula angustifolia,alpine primrose,Primulaceae,,.,pink,salverform,5,solitary,basal,"elliptic, linear",oblong,dry meadow,.,Jane G. Smith
forb,PRIPAR,Primula parryi,Parry’s primrose,Primulaceae,,.,pink,salverform,5,umbellate,basal,"elliptic, oblanceolate",oblong,wet meadow,.,Jane G. Smith
forb,CALLEP,Caltha leptosepala,white marsh marigold,Ranunculaceae,,.,white,radial,"5, 6, >6","cyme, solitary","alternate, basal","cordate, reniform",round,wet meadow,.,Jane G. Smith
forb,RANADO,Ranunculus adoneus,snow buttercup,Ranunculaceae,,.,yellow,radial,"5, 6, >6",solitary,"alternate, basal",dissected,dissected,snowbed,.,Jane G. Smith
forb,GEUROS,Geum rossii ,alpine avens,Roseaceae,Acomastylis rossii,.,yellow,radial,5,"cyme, solitary",basal,"oblanceolate, pinnatisect",dissected,"dry meadow, moist meadow, wet meadow, snowbed",.,Jane G. Smith
forb,DRYOCT,Dryas octopetala ,mountain dryad,Roseaceae,,.,white,radial,>6,solitary,basal,elliptic,oblong,"fellfield, dry meadow",.,Jane G. Smith
forb,POTDIV,Potentilla diversifolia,varileaf cinquefoil,Roseaceae,,.,yellow,radial,5,"cyme, solitary",basal,palmate,palmate,moist meadow,.,Jane G. Smith
forb,SIBPRO,Sibbaldia procumbens,creeping sibbaldia,Roseaceae,,.,"green, yellow",stellate,5,"cyme, solitary",basal,ternate,ternate,"moist meadow, snowbed",.,Jane G. Smith
forb,SAXRHO,Saxifraga rhomboidea,snowball saxifrage,Saxifragaceae,Micranthes rhomboidea,.,white,other,5,other,rosette,"ovate, rhombic",other,"dry meadow, moist meadow",.,Jane G. Smith
forb,CHIJAM,Chionophila jamesii,Rocky Mountain snowlover,Scrophulariaceae,,.,white,labiate,5,helicoid,basal,"oblanceolate, spatulate",oblong,"moist meadow, wet meadow",.,Jane G. Smith
forb,PEDGRO,Pedicularis groenlandica,elephanthead lousewort,Scrophulariaceae,,.,pink,labiate,5,"spicate, racemose",basal,"linear, pinnatisect",dissected,wet meadow,.,Jane G. Smith
forb,VERWOR,Veronica wormskjoldii ,alpine speedwell,Scrophulariaceae,Veronica nutans,.,"blue, purple",labiate,5,"spicate, racemose",opposite,"elliptic, oblanceolate, ovate",oblong,"wet meadow, subalpine",.,Jane G. Smith
